0;Fields group;Management of the resource;;;;;;;;;;;;Metadata of the text (description of item);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Link(s) to related resources;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;;;;;Text type;;;;Language(s) and script(s);;;;;;;;;;;;Physical form;;;;;;;;;;;Filiation;;;;;;;Rights;;;;;;;;;;;;;;;
0;Fields;Identifier of the resource;Origin of the metadata;Editor of the metadata;Date of the edition;Contributor of the metadata;Date of contribution;Type of contribution;Reviewer;Date of review;Project;Corpus;Distribution rights of the metadata;Identifier of the text;Designation;Alternative identifier;Alternative designation;Alternative designation;Location on the artefact/conglomerate artefact/monument;ID of the artefact/conglomerate artefact/monument;Text type 1;Text type 2;Text type 3;Text type 4;Language 1;Script classification 1;Script maturity 1;Language 2;Script classification 2;Script maturity 2;Language 3;Script classification 3;Script maturity 3;Language 4;Script classification 4;Script maturity 4;Lettering technique;Lines (observed);Lines (estimated);Lines per zone(s);Dimensions of text zone(s);Height of glyph;Width of glyph;Date CE;Date interval CE;Date precision;Date evidence;Duplicate ID;Reissue ID;Reissue date;Bibliographical references (primary);Bibliographical references (secondary);Keyword(s);Remarks;Project responsible for publication;Distribution rights of the text;Identifier of the surrogate;Identifier of the digital image;;;;;;;;;;;;
;;INSCIC00020_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00020_1;;C. 20;;;A;ARTCIC000020;;;;;Old Cham;;;;;;;;;;;;engraved;;16;16;;;;;;;;;;;;"JA 1888 (1), 97 ; 1891 (1), 59. — BEFEO III, 635xiv; XV (2), 9. — Parmentier1909_01: 75.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00021;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00021;;C. 21;;;;ARTCIC000021;;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;BEFEO III, 635xiv bis.— Parmentier1909_01: 74.;;"la seule ligne ne comporte qu'un seul mot; est. 128 est encré. Feuille jointe à l'est. BnF 391 (44) explique: « Un mot sur roche au tertre de Phanrang. » Nom du site probablement identique à celui du village de C. 17.";DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00022_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00022_2;;C. 22;;;B;ARTCIC000022;;;;;Old Cham;;;;;;;;;;;;engraved;;9;;;;;;;;;;;;;"JA 1888 (1), 99 ; 1891 (1), 63. — BEFEO III, 636xvii. — Parmentier1909_01: 77. —BCAI 1911, 13.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00022_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00022_1;;C. 22;;;A;ARTCIC000022;;;;;Old Cham;;;;;;;;;;;;engraved;;22;;;;;;;;;;;;;"JA 1888 (1), 99 ; 1891 (1), 63. — BEFEO III, 636xvii. — Parmentier1909_01: 77. —BCAI 1911, 13.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00023;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-07-01;completion;;;DHARMA;CIC;CC0;INSCIC00023;;C. 23;;;front;ARTCIC000023;inaugurative - contruction_religious_building;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;Old Cham;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;vernacular Brahmi-derived script;;;;;;;engraved;17;invocation + 16;17;55x35;1;1,5;;819-820 (ou 829-830) ;low;internal date;;;;Aymonier1891_01: 25-27$Bergaigne1893_01: 237-241 (no XXV, 396) ;Finot1903_04: 633 (no. V)$Coedes1908_01: 41 (no. 23)$Parmentier1909_01: 79$Finot1915_01: 11, 47$Coedes1923_01: 8-9 (no. 23)$Majumdar1927_01: part III, 65-67$Golzio2004_01: 55-56$Griffiths+Southworth2011_01: 295;;Autre nom: Yang Kur.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00023_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00023_3;;C. 23;;;3;ARTCIC000023;;;;;Sanskrit;;;;;;;;;;;;engraved;;2;;;;;;;;;;;;ISCC n° XXV, 237.;"JA 1888, 27, 71, 78. — JA 1891 (1), 25. — BEFEO III, 633v; XV (2), 11, 47. — Parmentier1909_01: 79. — ECIC II, 294-295. — ECIC III, 446, 481-484, 486.";;Autre nom: Yang Kur.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00023_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00023_2;;C. 23;;;2;ARTCIC000023;;;;;Old Cham;;;;;;;;;;;;engraved;;7;;;;;;;;;;;;JA 1891 (1), 25.;"JA 1891 (1), 25. — BEFEO III, 636v; XV (2), 11, 47. — Parmentier1909_01: 79.";;Autre nom: Yang Kur.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00023_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00023_1;;C. 23;;;1;ARTCIC000023;;;;;Sanskrit;;;;;;;;;;;;engraved;;invocation + 7;;;;;;;;;;;;ISCC n° XXV, 237.;"JA 1891 (1), 25. — BEFEO III, 636v; XV (2), 11, 47. — Parmentier1909_01: 79.";;Autre nom: Yang Kur.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00024_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-07-05;completion;;;DHARMA;CIC;CC0;INSCIC00024_2;;C. 24;;;back (B) ;ARTCIC000024;inaugurative - installation_religious_image;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;late Brahmi;;;;;;;;;;engraved;24;invocation+23;24;111x76;1,5;1;;;low;reign;;;;Bergaigne1893_01: 218-231 (no XXIII, 393);Finot1903_04: 633 (no. II)$Coedes1908_01: 41 (no. 24)$Parmentier1909_01: 78$Finot1915_01: 8$Coedes1923_01: 8-9 (no. 24)$Majumdar1927_01: part III, 51-61$Golzio2004_01: 44-61;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00024_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;sapi;2022-07-05;completion;;;DHARMA;CIC;CC0;INSCIC00024_1;;C. 24;;;front (A) ;ARTCIC000024;inaugurative - installation_religious_image;;;;Sanskrit;brahmi_and_derivatives - southeast_asian_brahmi - cam_script;late Brahmi;;;;;;;;;;engraved;23;invocation+22;23;108x76;1,5;1;;810-811;low;internal date;;;;Bergaigne1893_01: 218-231 (no XXIII, 393);Finot1903_04: 633 (no. II)$Coedes1908_01: 41 (no. 24)$Parmentier1909_01: 78$Finot1915_01: 8$Coedes1923_01: 8-9 (no. 24)$Majumdar1927_01: part III, 51-61$Golzio2004_01: 44-61;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00025_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00025_2;;C. 25;;;B;ARTCIC000025;;;;;Sanskrit;;;;;;;;;;;;engraved;;18;;;;;;;;;;;;ISCC n° XXII, 207.;JA 1891 (1), 21. — BEFEO III, 633i. — Parmentier1909_01: 78.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00025_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00025_1;;C. 25;;;A;ARTCIC000025;;;;;Sanskrit;;;;;;;;;;;;engraved;;invocation + 19;;;;;;;;;;;;ISCC n° XXII, 207.;JA 1891 (1), 21. — BEFEO III, 633i. — Parmentier1909_01: 78.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00026_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00026_1;;C. 26;;;1;ARTCIC000026;;;;;Sanskrit;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;ISCC n° XXV, 291.;JA 1891 (1), 55. — BEFEO III, 636xiii. — Parmentier1909_01: 110.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00026_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00026_2;;C. 26;;;2;ARTCIC000026;;;;;Old Cham;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;ISCC n° XXV, 291. — JA 1891 (1), 55. — BEFEO III, 636xiii. — Parmentier1909_01: 110.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00027;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00027;;C. 27;;;;ARTCIC000027;;;;;Old Cham;;;;;;;;;;;;engraved;;5;;;;;;;;;;;;;;;La feuille jointe à BnF 417 (46) indique: « Binh Thuan Po Meḥ près de Sa/Ra Dyan. » Lecture des deux derniers mots incertaine.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00028;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00028;;C. 28;;;Tour sud;ARTCIC000028;;;;;Old Cham;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;;"JA 1888 (1), 80 ; 1891 (1), 36.";;Cœdès 1923, p. 151 n. 1 : « Il a paru inutile de surcharger la bibliographie en donnant pour chacune des inscriptions de Pō Nagar la référence aux travaux de M. Parmentier : Le sanctuaire de Pō Nagar, BE., II, 42, et Inventaire, I, p. 129 et suiv. »;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00029_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00029_1;;C. 29;;;A, extérieur du piédroit nord, tour sud;ARTCIC000029;;;;;Old Cham;;;;;;;;;;;;engraved;;4 bûchées + 4 illisibles sur la plinthe;;;;;;;;;;;;;"JA 1888 (1), 98 ; 1891 (1), 59.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00029_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00029_2;;C. 29;;;B, intérieur du piédroit nord, tour sud;ARTCIC000029;;;;;Old Cham;;;;;;;;;;;;engraved;;invocation + 6;;;;;;;;;;;;;"JA 1888 (1), 98 ; 1891 (1), 59.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00030_6;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00030_6;;C. 30;;;B (antérieure) 2 du pied droit sud de la porte d'entrée, tour principale;ARTCIC000030;;;;;Old Cham;;;;;;;;;;;;engraved;;5;;;;;;;;;;;;;JA 1891 (1), 29.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00030_8;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00030_8;;C. 30;;;B (antérieure) 4 du pied droit sud de la porte d'entrée, tour principale;ARTCIC000030;;;;;Old Cham;;;;;;;;;;;;engraved;;13;;;;;;;;;;;;;JA 1891 (1), 47.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00030_5;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00030_5;;C. 30;;;B (antérieure) 1 du pied droit sud de la porte d'entrée, tour principale;ARTCIC000030;;;;;Old Cham;;;;;;;;;;;;engraved;;5;;;;;;;;;;;;;JA 1891 (1), 48.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00030_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00030_4;;C. 30;;;A (intérieure) 4 du pied droit sud de la porte d'entrée, tour principale;ARTCIC000030;;;;;Old Cham;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;;JA 1891 (1), 47.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00030_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00030_3;;C. 30;;;A (intérieure) 3 du pied droit sud de la porte d'entrée, tour principale;ARTCIC000030;;;;;Old Cham;;;;;;;;;;;;engraved;;7;;;;;;;;;;;;;JA 1891 (1), 44.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00030_2-1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00030_2-1;;C. 30;;;A (intérieure) 2.1 du pied droit sud de la porte d'entrée, tour principale;ARTCIC000030;;;;;Sanskrit;;;;;;;;;;;;engraved;;2 1/2;;;;;;;;;;;;ISCC n° XXXII, 282.;JA 1891 (1), 41. — Finot1915_01: 50, n. 1.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00030_2-2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00030_2-2;;C. 30;;;A (intérieure) 2.2 du pied droit sud de la porte d'entrée;ARTCIC000030;;;;;Old Cham;;;;;;;;;;;;engraved;;5 1/2;;;;;;;;;;;;;JA 1891 (1), 41. — Finot1915_01: 50, n. 1.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00030_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00030_1;;C. 30;;;A (intérieure) 1 du pied droit sud de la porte d'entrée, tour principale;ARTCIC000030;;;;;Old Cham;;;;;;;;;;;;engraved;;25;;;;;;;;;;;;;JA 1891 (1), 33.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00030_7;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00030_7;;C. 30;;;B (antérieure) 3 du pied droit sud de la porte d'entrée, tour principale;ARTCIC000030;;;;;Sanskrit;;;;;;;;;;;;engraved;;13;;;;;;;;;;;;ISCC n° XXIX, 270.;Finot1915_01: 39.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00030_9;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00030_9;;C. 30;;;F du pied droit sud de la porte d'entrée;ARTCIC000030;;;;;;;;;;;;;;;;;engraved;;;;;;;;;;;;;;;JA 1891 (1), 29.;;Cette inscription semble = C. 30B2, et est probablement à annuler.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00031_5;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00031_5;;C. 31;;;B (nord) du piédroit nord de la porte d'entrée, tour principale;ARTCIC000031;;;;;Old Cham;;;;;;;;;;;;engraved;;7;;;;;;;;;;;;;JA 1891 (1), 55.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00031_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00031_3;;C. 31;;;A3 du piédroit nord de la porte d'entrée;ARTCIC000031;;;;;Sanskrit;;;;;;;;;;;;engraved;;7;;;;;;;;;;;;ISCC n° XXXI, 279.;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00031_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00031_4;;C. 31;;;A4 du piédroit nord de la porte d'entrée, tour principale;ARTCIC000031;;;;;Old Cham;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;ISCC, 279.;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00031_6;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00031_6;;C. 31;;;C (sud) 1 du piédroit nord de la porte d'entrée, tour principale;ARTCIC000031;;;;;Old Cham;;;;;;;;;;;;engraved;;4;;;;;;;;;;;;;JA 1891 (1), 56. — Finot1915_01: 51.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00031_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00031_1;;C. 31;;;A (antérieure) 1 du piédroit nord de la porte d'entrée, tour principale;ARTCIC000031;;;;;Old Cham;;;;;;;;;;;;engraved;;invocation + 16;;;;;;;;;;;;;JA 1891 (1), 53.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00031_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00031_2;;C. 31;;;A2 du piédroit nord de la porte d'entrée, tour principale;ARTCIC000031;;;;;Sanskrit;;;;;;;;;;;;engraved;;12;;;;;;;;;;;;ISCC n° XXX, 275.;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00031_7;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00031_7;;C. 31;;;C2 du piédroit nord de la porte d'entrée, tour principale;ARTCIC000031;;;;;Sanskrit;;;;;;;;;;;;engraved;;31;;;;;;;;;;;;ISCC n° XXVIII, 263.;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00032_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00032_2;;C. 32;;;B, tour principale;ARTCIC000031;;;;;Old Cham;;;;;;;;;;;;engraved;;12;;;;;;;;;;;;;"JA 1888 (1), 103 ; 1891 (1), 60. — BEFEO IX, 412.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00032_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00032_1;;C. 32;;;A, tour principale;ARTCIC000031;;;;;Old Cham;;;;;;;;;;;;engraved;;25;;;;;;;;;;;;;"JA 1888 (1), 103 ; 1891 (1), 60. — BEFEO IX, 412.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00033;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00033;;C. 33;;;paroi sud du vestibule, tour principale;ARTCIC000033;;;;;Sanskrit;;;;;;;;;;;;engraved;;10;;;;;;;;;;;;ISCC n° XXVII, 260.;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00034;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00034;;C. 34;;;paroi nord du vestibule, tour principale;ARTCIC000034;;;;;Old Cham;;;;;;;;;;;;engraved;;3 illisibles;;;;;;;;;;;;;"JA 1888 (1), 78 ; 1891 (1), 27.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00035;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00035;;C. 35;;;linteau de la porte intérieure, tour principale;ARTCIC000035;;;;;Unknown;;;;;;;;;;;;engraved;;quelques lettres;;;;;;;;;;;;;Parmentier1909_01: 131.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00036;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00036;;C. 36;;;piédroit nord de la porte intérieure, tour principale;ARTCIC000036;;;;;Sanskrit;;;;;;;;;;;;engraved;;2 mots;;;;;;;;;;;;ISCC n° XXXIV, 290.;;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00037_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00037_1;;C. 37;;;1, paroi sud du vestibule, Tour Nord-Ouest;ARTCIC000037;;;;;Old Cham;;;;;;;;;;;;engraved;;7;;;;;;;;;;;;"Schweyer, Aséanie 2005 ; BEFEO 2008-09";"JA 1888 (1), 76 ; 1891 (1), 24.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00037_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00037_2;;C. 37;;;1, paroi sud du vestibule, Tour Nord-Ouest;ARTCIC000037;;;;;Old Cham;;;;;;;;;;;;engraved;;3 à 4 lignes ruinées;;;;;;;;;;;;"Schweyer, Aséanie 2005 ; BEFEO 2008-09";"JA 1888 (1), 76 ; 1891 (1), 24.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00038_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00038_2;;C. 38;;;B, devant la tour principake;ARTCIC000038;;;;;Sanskrit;;;;;;;;;;;;engraved;;22;;;;;;;;;;;;ISCC n° XXVI, 242.;"BEFEO XI, 268 ; XV (2), 7.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00038_3;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00038_3;;C. 38;;;C, inscription sur la base dans laquelle s'insère la stèle, devant la tour principale;ARTCIC000038;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;ISCC n° XXVI, 242.;"BEFEO XI, 268 ; XV (2), 7.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00038_4;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00038_4;;C. 38;;;d1, devant la tour principale;ARTCIC000038;;;;;Sanskrit;;;;;;;;;;;;engraved;;4 1/2;;;;;;;;;;;;ISCC n° XXVI, 242.;"BEFEO XI, 268 ; XV (2), 7.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00038_5;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00038_5;;C. 38;;;d2, devant la tour principale;ARTCIC000038;;;;;Sanskrit;;;;;;;;;;;;engraved;;7 1/2;;;;;;;;;;;;ISCC n° XXVI, 242.;"BEFEO XI, 268 ; XV (2), 7.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00038_6;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00038_6;;C. 38;;;e, devant la tour principale;ARTCIC000038;;;;;Sanskrit;;;;;;;;;;;;engraved;;13;;;;;;;;;;;;ISCC n° XXVI, 242.;"BEFEO XI, 268 ; XV (2), 7.";;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00038_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00038_1;;C. 38;;;A, devant la tour principale;ARTCIC000038;;;;;Sanskrit;;;;;;;;;;;;engraved;;invocation + 18;;;;;;;;;;;;ISCC n° XXVI, 242.;"BEFEO XI, 268 ; XV (2), 7.";;date plutôt 698 ś.?;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00039;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00039;;C. 39;;;;ARTCIC000039;;;;;Old Cham;;;;;;;;;;;;engraved;;6;;;;;;;;;;;;;"JA 1888 (1), 79 ; 1891 (1), 28.";;l'estampage EFEO 26 est encré.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00040;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00040;;C. 40;;;;ARTCIC000040;;;;;Sanskrit;;;;;;;;;;;;engraved;;15;;;;;;;;;;;;ISCC n° XX, 191. — Finot1915_01: 3.;Parmentier1909_01: 111.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00041_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00041_2;;C. 41;;;2;ARTCIC000041;;;;;Sanskrit;;;;;;;;;;;;engraved;;1;;;;;;;;;;;;ISCC n° XXI, 199.;BEFEO II, 186. — Parmentier1909_01: 140.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00041_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00041_1;;C. 41;;;1;ARTCIC000041;;;;;Sanskrit;;;;;;;;;;;;engraved;;3;;;;;;;;;;;;ISCC n° XXI, 199.;BEFEO II, 186. — Parmentier1909_01: 140.;;;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00042;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00042;;C. 42;;;;ARTCIC000042;;;;;Old Cham;;;;;;;;;;;;engraved;;14;;;;;;;;;;;;;"BEFEO I, 413 ; II, 227, 282 ; IV, 535 ; XV (2), 13 ; XXVII, 460 ; XXVIII, 261???, 604. — Parmentier1909_01: 563. Schweyer 2005; 2006.";;An unidentified estampage has been reproduced as fig. 8 (p. 43) in A.-V. Schweyer, “Les sources épigraphiques”, pp. 36-47 in P. Baptiste et T. Zéphir (réds.), Trésors d’art du Vietnam. La sculpture du Champa Ve-XVe siècles. Paris 2005. This is EFEO n. 509.;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00043_1;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00043_1;;C. 43;;;A;ARTCIC000043;;;;;Old Cham;;;;;;;;;;;;engraved;;invocation + 22;;;;;;;;;;;;;"BEFEO I, 413 ; II, 227, 282 ; IV, 535 ; XV (2), 13 ; XXVII, 460 ; XXVIII, 261. — Parmentier1909_01: 563.";;Cœdès omet 4e face: pas comprise dans lot EFEO 267? Transporté au musée en 1927 ou 1935?;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
;;INSCIC00043_2;Inventaire EFEO des inscriptions du Campa;argr;2021-11-19;;;;;;DHARMA;CIC;CC0;INSCIC00043_2;;C. 43;;;B;ARTCIC000043;;;;;Old Cham;;;;;;;;;;;;engraved;;23;;;;;;;;;;;;;"BEFEO I, 413 ; II, 227, 282 ; IV, 535 ; XV (2), 13 ; XXVII, 460 ; XXVIII, 261. — Parmentier1909_01: 563.";;Cœdès omet 4e face: pas comprise dans lot EFEO 267? Transporté au musée en 1927 ou 1935?;DHARMA;CC-BY 4.0;;;;;;;;;;;;;;
